product_name,series,price,rating,reviews_count,stock,daily_sales,date
iPhone 14 Pro Max,14,12000.0,4.0,416,48,22,2025-01-15
iPhone 15,15,10000.0,4.1,160,49,16,2025-01-15
iPhone 15 Plus,15,10200.0,3.4,273,33,22,2025-01-15
iPhone 15 Pro,15,12500.0,3.9,14,26,24,2025-01-15
iPhone 15 Pro Max,15,14000.0,5.0,436,14,13,2025-01-15
iPhone 16,16,11000.0,3.0,475,21,20,2025-01-15
iPhone 16 Pro,16,14000.0,4.5,484,12,20,2025-01-15
iPhone 16 Pro Max,16,16000.0,4.6,461,37,23,2025-01-15
iPhone 17,17,12000.0,4.7,313,9,20,2025-01-15
iPhone 17 Pro,17,15500.0,4.2,455,32,21,2025-01-15
iPhone 17 Pro Max,17,18000.0,3.6,170,45,14,2025-01-15
iPhone X,X,5000.0,5.0,278,13,18,2025-01-16
iPhone XS,X,5200.0,3.2,107,42,17,2025-01-16
iPhone XS Max,X,5500.0,3.7,111,23,22,2025-01-16
iPhone 11,11,6000.0,4.6,348,49,23,2025-01-16
iPhone 11 Pro,11,7000.0,4.6,353,11,13,2025-01-16
iPhone 11 Pro Max,11,8000.0,4.4,325,33,11,2025-01-16
iPhone 12,12,7000.0,3.9,314,36,13,2025-01-16
iPhone 12 mini,12,6800.0,3.1,364,12,16,2025-01-16
iPhone 12 Pro,12,8500.0,4.3,339,6,8,2025-01-16
iPhone 12 Pro Max,12,9000.0,4.7,313,6,16,2025-01-16
iPhone 13,13,8000.0,4.0,126,33,14,2025-01-16
iPhone 13 mini,13,7800.0,3.8,302,19,12,2025-01-16
iPhone 13 Pro,13,9500.0,4.1,280,47,23,2025-01-16
iPhone 13 Pro Max,13,10000.0,4.4,388,47,22,2025-01-16
iPhone 14,14,9000.0,3.0,416,47,18,2025-01-16
iPhone 14 Plus,14,9200.0,4.9,280,8,21,2025-01-16
iPhone 14 Pro,14,11000.0,4.9,479,23,19,2025-01-16
iPhone 14 Pro Max,14,12000.0,3.5,61,31,15,2025-01-16
iPhone 15,15,10000.0,4.9,165,39,15,2025-01-16
iPhone 15 Plus,15,10200.0,4.4,11,17,20,2025-01-16
iPhone 15 Pro,15,12500.0,3.8,354,34,22,2025-01-16
iPhone 15 Pro Max,15,14000.0,3.4,406,35,15,2025-01-16
iPhone 16,16,11000.0,4.4,321,46,15,2025-01-16
iPhone 16 Pro,16,14000.0,4.6,181,49,19,2025-01-16
iPhone 16 Pro Max,16,16000.0,4.3,388,17,26,2025-01-16
iPhone 17,17,12000.0,4.8,402,30,21,2025-01-16
iPhone 17 Pro,17,15500.0,3.4,19,28,25,2025-01-16
iPhone 17 Pro Max,17,18000.0,4.8,217,30,18,2025-01-16
iPhone X,X,5000.0,3.5,77,28,18,2025-01-17
iPhone XS,X,5200.0,4.3,155,23,26,2025-01-17
iPhone XS Max,X,5500.0,4.2,490,9,22,2025-01-17
iPhone 11,11,6000.0,4.7,128,25,16,2025-01-17
iPhone 11 Pro,11,7000.0,3.2,441,41,26,2025-01-17
iPhone 11 Pro Max,11,8000.0,4.1,147,13,28,2025-01-17
iPhone 12,12,7000.0,3.8,450,29,15,2025-01-17
iPhone 12 mini,12,6800.0,3.9,176,45,28,2025-01-17
iPhone 12 Pro,12,8500.0,4.4,496,28,22,2025-01-17
iPhone 12 Pro Max,12,9000.0,3.5,45,44,28,2025-01-17
iPhone 13,13,8000.0,4.3,173,7,11,2025-01-17
iPhone 13 mini,13,7800.0,3.7,496,8,13,2025-01-17
iPhone 13 Pro,13,9500.0,3.9,325,6,17,2025-01-17
iPhone 13 Pro Max,13,10000.0,4.3,273,42,21,2025-01-17
iPhone 14,14,9000.0,4.2,76,48,14,2025-01-17
iPhone 14 Plus,14,9200.0,4.3,224,48,13,2025-01-17
iPhone 14 Pro,14,11000.0,4.3,218,39,18,2025-01-17
iPhone 14 Pro Max,14,12000.0,3.1,309,40,28,2025-01-17
iPhone 15,15,10000.0,4.9,486,35,16,2025-01-17
iPhone 15 Plus,15,10200.0,3.8,167,20,22,2025-01-17
iPhone 15 Pro,15,12500.0,3.0,409,16,19,2025-01-17
iPhone 15 Pro Max,15,14000.0,3.8,288,32,21,2025-01-17
iPhone 16,16,11000.0,4.9,127,9,24,2025-01-17
iPhone 16 Pro,16,14000.0,3.5,295,25,23,2025-01-17
iPhone 16 Pro Max,16,16000.0,3.2,415,22,22,2025-01-17
iPhone 17,17,12000.0,4.2,469,42,21,2025-01-17
iPhone 17 Pro,17,15500.0,3.3,151,40,14,2025-01-17
iPhone 17 Pro Max,17,18000.0,3.7,350,6,15,2025-01-17
iPhone X,X,5000.0,4.9,466,5,15,2025-01-18
iPhone XS,X,5200.0,3.9,205,22,11,2025-01-18
iPhone XS Max,X,5500.0,4.0,428,26,21,2025-01-18
iPhone 11,11,6000.0,4.7,499,16,19,2025-01-18
iPhone 11 Pro,11,7000.0,4.9,51,42,17,2025-01-18
iPhone 11 Pro Max,11,8000.0,4.8,167,18,25,2025-01-18
iPhone 12,12,7000.0,4.6,345,11,17,2025-01-18
iPhone 12 mini,12,6800.0,3.8,75,31,18,2025-01-18
iPhone 12 Pro,12,8500.0,4.4,475,18,20,2025-01-18
iPhone 12 Pro Max,12,9000.0,4.6,290,37,20,2025-01-18
iPhone 13,13,8000.0,4.8,279,5,26,2025-01-18
iPhone 13 mini,13,7800.0,3.3,396,39,22,2025-01-18
iPhone 13 Pro,13,9500.0,3.8,34,17,16,2025-01-18
iPhone 13 Pro Max,13,10000.0,3.1,34,19,19,2025-01-18
iPhone 14,14,9000.0,4.9,453,16,19,2025-01-18
iPhone 14 Plus,14,9200.0,3.6,343,24,22,2025-01-18
iPhone 14 Pro,14,11000.0,3.9,325,10,11,2025-01-18
iPhone 14 Pro Max,14,12000.0,3.8,14,23,26,2025-01-18
iPhone 15,15,10000.0,3.4,354,6,28,2025-01-18
iPhone 15 Plus,15,10200.0,4.2,472,13,19,2025-01-18
iPhone 15 Pro,15,12500.0,3.9,402,39,16,2025-01-18
iPhone 15 Pro Max,15,14000.0,4.4,106,8,17,2025-01-18
iPhone 16,16,11000.0,4.3,49,21,16,2025-01-18
iPhone 16 Pro,16,14000.0,3.3,429,42,16,2025-01-18
iPhone 16 Pro Max,16,16000.0,3.9,72,41,19,2025-01-18
iPhone 17,17,12000.0,3.4,16,31,24,2025-01-18
iPhone 17 Pro,17,15500.0,3.8,23,11,24,2025-01-18
iPhone 17 Pro Max,17,18000.0,3.0,395,31,23,2025-01-18
iPhone X,X,5000.0,3.8,239,19,28,2025-01-19
iPhone XS,X,5200.0,3.4,398,5,23,2025-01-19
iPhone XS Max,X,5500.0,3.6,483,49,19,2025-01-19
iPhone 11,11,6000.0,3.2,197,15,22,2025-01-19
iPhone 11 Pro,11,7000.0,3.9,317,30,23,2025-01-19
iPhone 11 Pro Max,11,8000.0,4.6,230,33,13,2025-01-19
iPhone 12,12,7000.0,3.9,30,46,16,2025-01-19
iPhone 12 mini,12,6800.0,4.4,69,33,25,2025-01-19
iPhone 12 Pro,12,8500.0,3.6,251,44,30,2025-01-19
iPhone 12 Pro Max,12,9000.0,4.3,452,26,16,2025-01-19
iPhone 13,13,8000.0,4.3,88,21,20,2025-01-19
iPhone 13 mini,13,7800.0,3.3,425,48,16,2025-01-19
iPhone 13 Pro,13,9500.0,4.0,110,12,18,2025-01-19
iPhone 13 Pro Max,13,10000.0,3.1,161,21,20,2025-01-19
iPhone 14,14,9000.0,4.9,286,44,13,2025-01-19
iPhone 14 Plus,14,9200.0,3.7,408,23,15,2025-01-19
iPhone 14 Pro,14,11000.0,4.3,37,47,26,2025-01-19
iPhone 14 Pro Max,14,12000.0,4.7,17,14,8,2025-01-19
iPhone 15,15,10000.0,3.0,489,32,20,2025-01-19
iPhone 15 Plus,15,10200.0,3.5,338,6,21,2025-01-19
iPhone 15 Pro,15,12500.0,4.3,460,40,26,2025-01-19
iPhone 15 Pro Max,15,14000.0,4.3,387,14,22,2025-01-19
iPhone 16,16,11000.0,4.6,149,31,20,2025-01-19
iPhone 16 Pro,16,14000.0,4.2,360,20,21,2025-01-19
iPhone 16 Pro Max,16,16000.0,4.6,389,38,18,2025-01-19
iPhone 17,17,12000.0,4.9,192,13,15,2025-01-19
iPhone 17 Pro,17,15500.0,3.7,324,18,30,2025-01-19
iPhone 17 Pro Max,17,18000.0,4.9,423,24,14,2025-01-19
iPhone X,X,5000.0,3.2,297,25,24,2025-01-20
iPhone XS,X,5200.0,4.7,277,45,17,2025-01-20
iPhone XS Max,X,5500.0,4.1,158,17,21,2025-01-20
iPhone 11,11,6000.0,3.4,233,15,27,2025-01-20
iPhone 11 Pro,11,7000.0,3.6,159,47,21,2025-01-20
iPhone 11 Pro Max,11,8000.0,4.5,267,33,11,2025-01-20
iPhone 12,12,7000.0,4.4,445,31,19,2025-01-20
iPhone 12 mini,12,6800.0,3.3,53,17,22,2025-01-20
iPhone 12 Pro,12,8500.0,3.8,430,37,10,2025-01-20
iPhone 12 Pro Max,12,9000.0,4.1,422,34,20,2025-01-20
iPhone 13,13,8000.0,4.7,376,29,16,2025-01-20
iPhone 13 mini,13,7800.0,3.9,153,12,22,2025-01-20
iPhone 13 Pro,13,9500.0,3.5,270,7,26,2025-01-20
iPhone 13 Pro Max,13,10000.0,3.4,19,25,17,2025-01-20
iPhone 14,14,9000.0,4.5,240,31,17,2025-01-20
iPhone 14 Plus,14,9200.0,4.6,429,26,14,2025-01-20
iPhone 14 Pro,14,11000.0,4.7,323,16,16,2025-01-20
iPhone 14 Pro Max,14,12000.0,4.9,386,24,23,2025-01-20
iPhone 15,15,10000.0,3.7,252,35,23,2025-01-20
iPhone 15 Plus,15,10200.0,5.0,141,8,18,2025-01-20
iPhone 15 Pro,15,12500.0,4.4,33,39,21,2025-01-20
iPhone 15 Pro Max,15,14000.0,3.0,368,25,15,2025-01-20
iPhone 16,16,11000.0,3.1,439,8,17,2025-01-20
iPhone 16 Pro,16,14000.0,3.8,80,8,14,2025-01-20
iPhone 16 Pro Max,16,16000.0,4.0,12,28,18,2025-01-20
iPhone 17,17,12000.0,4.4,385,28,18,2025-01-20
iPhone 17 Pro,17,15500.0,4.4,91,23,23,2025-01-20
iPhone 17 Pro Max,17,18000.0,4.0,375,23,17,2025-01-20
iPhone X,X,5000.0,3.1,118,16,23,2025-01-21
iPhone XS,X,5200.0,4.6,201,23,24,2025-01-21
iPhone XS Max,X,5500.0,3.9,237,34,16,2025-01-21
iPhone 11,11,6000.0,3.2,125,32,10,2025-01-21
iPhone 11 Pro,11,7000.0,4.5,468,49,22,2025-01-21
iPhone 11 Pro Max,11,8000.0,4.0,56,31,14,2025-01-21
iPhone 12,12,7000.0,4.4,56,18,24,2025-01-21
iPhone 12 mini,12,6800.0,4.9,334,14,24,2025-01-21
iPhone 12 Pro,12,8500.0,3.7,470,47,20,2025-01-21
iPhone 12 Pro Max,12,9000.0,3.6,254,23,11,2025-01-21
iPhone 13,13,8000.0,3.5,311,30,22,2025-01-21
iPhone 13 mini,13,7800.0,3.9,270,40,17,2025-01-21
iPhone 13 Pro,13,9500.0,3.3,269,43,18,2025-01-21
iPhone 13 Pro Max,13,10000.0,4.8,482,40,15,2025-01-21
iPhone 14,14,9000.0,3.0,417,48,15,2025-01-21
iPhone 14 Plus,14,9200.0,4.6,403,20,15,2025-01-21
iPhone 14 Pro,14,11000.0,3.7,488,46,17,2025-01-21
iPhone 14 Pro Max,14,12000.0,3.3,237,47,23,2025-01-21
iPhone 15,15,10000.0,3.1,259,47,20,2025-01-21
iPhone 15 Plus,15,10200.0,3.8,16,10,14,2025-01-21
iPhone 15 Pro,15,12500.0,4.8,475,36,21,2025-01-21
iPhone 15 Pro Max,15,14000.0,4.1,208,25,20,2025-01-21
iPhone 16,16,11000.0,3.1,385,18,23,2025-01-21
iPhone 16 Pro,16,14000.0,3.4,481,23,13,2025-01-21
iPhone 16 Pro Max,16,16000.0,3.6,350,16,15,2025-01-21
iPhone 17,17,12000.0,3.3,205,46,18,2025-01-21
iPhone 17 Pro,17,15500.0,3.2,95,37,14,2025-01-21
iPhone 17 Pro Max,17,18000.0,4.7,451,47,20,2025-01-21
iPhone X,X,5000.0,3.1,95,21,13,2025-01-22
iPhone XS,X,5200.0,4.7,339,25,22,2025-01-22
iPhone XS Max,X,5500.0,3.3,31,6,28,2025-01-22
iPhone 11,11,6000.0,3.6,433,42,18,2025-01-22
iPhone 11 Pro,11,7000.0,4.6,147,39,16,2025-01-22
iPhone 11 Pro Max,11,8000.0,3.3,392,8,16,2025-01-22
iPhone 12,12,7000.0,4.5,223,19,21,2025-01-22
iPhone 12 mini,12,6800.0,4.8,101,18,18,2025-01-22
iPhone 12 Pro,12,8500.0,3.5,498,44,24,2025-01-22
iPhone 12 Pro Max,12,9000.0,4.1,236,10,19,2025-01-22
iPhone 13,13,8000.0,3.7,288,29,15,2025-01-22
iPhone 13 mini,13,7800.0,3.9,276,16,18,2025-01-22
iPhone 13 Pro,13,9500.0,4.0,417,32,15,2025-01-22
iPhone 13 Pro Max,13,10000.0,3.6,402,19,24,2025-01-22
iPhone 14,14,9000.0,4.8,113,22,22,2025-01-22
iPhone 14 Plus,14,9200.0,4.6,272,20,15,2025-01-22
iPhone 14 Pro,14,11000.0,4.7,268,31,18,2025-01-22
iPhone 14 Pro Max,14,12000.0,3.4,110,36,17,2025-01-22
iPhone 15,15,10000.0,4.3,116,41,30,2025-01-22
iPhone 15 Plus,15,10200.0,3.2,41,13,14,2025-01-22
iPhone 15 Pro,15,12500.0,4.6,311,20,19,2025-01-22
iPhone 15 Pro Max,15,14000.0,3.2,167,17,21,2025-01-22
iPhone 16,16,11000.0,3.6,421,42,21,2025-01-22
iPhone 16 Pro,16,14000.0,3.2,205,29,16,2025-01-22
iPhone 16 Pro Max,16,16000.0,4.6,163,9,22,2025-01-22
iPhone 17,17,12000.0,3.2,69,48,18,2025-01-22
iPhone 17 Pro,17,15500.0,5.0,459,48,9,2025-01-22
iPhone 17 Pro Max,17,18000.0,4.0,140,16,16,2025-01-22
iPhone X,X,5000.0,3.7,483,25,17,2025-01-23
iPhone XS,X,5200.0,4.8,316,22,28,2025-01-23
iPhone XS Max,X,5500.0,4.5,450,27,12,2025-01-23
iPhone 11,11,6000.0,4.7,148,34,26,2025-01-23
iPhone 11 Pro,11,7000.0,5.0,428,37,21,2025-01-23
iPhone 11 Pro Max,11,8000.0,3.7,433,32,16,2025-01-23
iPhone 12,12,7000.0,4.4,463,13,24,2025-01-23
iPhone 12 mini,12,6800.0,3.4,152,25,18,2025-01-23
iPhone 12 Pro,12,8500.0,3.1,126,18,19,2025-01-23
iPhone 12 Pro Max,12,9000.0,4.6,261,17,21,2025-01-23
iPhone 13,13,8000.0,4.8,124,37,18,2025-01-23
iPhone 13 mini,13,7800.0,3.8,151,40,14,2025-01-23
iPhone 13 Pro,13,9500.0,3.8,199,39,26,2025-01-23
iPhone 13 Pro Max,13,10000.0,4.0,378,29,18,2025-01-23
iPhone 14,14,9000.0,3.8,279,30,22,2025-01-23
iPhone 14 Plus,14,9200.0,4.7,182,11,24,2025-01-23
iPhone 14 Pro,14,11000.0,4.2,82,23,21,2025-01-23
iPhone 14 Pro Max,14,12000.0,3.2,295,13,29,2025-01-23
iPhone 15,15,10000.0,3.0,385,29,23,2025-01-23
iPhone 15 Plus,15,10200.0,4.2,77,32,15,2025-01-23
iPhone 15 Pro,15,12500.0,4.7,370,26,19,2025-01-23
iPhone 15 Pro Max,15,14000.0,4.6,167,16,19,2025-01-23
iPhone 16,16,11000.0,4.2,73,25,16,2025-01-23
iPhone 16 Pro,16,14000.0,4.7,460,48,20,2025-01-23
iPhone 16 Pro Max,16,16000.0,3.2,210,13,24,2025-01-23
iPhone 17,17,12000.0,4.8,74,12,22,2025-01-23
iPhone 17 Pro,17,15500.0,4.0,440,44,16,2025-01-23
iPhone 17 Pro Max,17,18000.0,4.5,370,23,10,2025-01-23
iPhone X,X,5000.0,4.8,102,26,28,2025-01-24
iPhone XS,X,5200.0,4.2,166,8,26,2025-01-24
iPhone XS Max,X,5500.0,4.4,357,32,23,2025-01-24
iPhone 11,11,6000.0,4.9,203,28,16,2025-01-24
iPhone 11 Pro,11,7000.0,4.2,448,45,31,2025-01-24
iPhone 11 Pro Max,11,8000.0,3.1,162,22,20,2025-01-24
iPhone 12,12,7000.0,3.7,277,10,18,2025-01-24
iPhone 12 mini,12,6800.0,3.4,300,49,9,2025-01-24
iPhone 12 Pro,12,8500.0,3.9,186,17,25,2025-01-24
iPhone 12 Pro Max,12,9000.0,3.1,145,47,20,2025-01-24
iPhone 13,13,8000.0,4.7,362,30,8,2025-01-24
iPhone 13 mini,13,7800.0,3.4,115,47,12,2025-01-24
iPhone 13 Pro,13,9500.0,3.1,242,13,17,2025-01-24
iPhone 13 Pro Max,13,10000.0,4.6,286,43,24,2025-01-24
iPhone 14,14,9000.0,4.1,48,17,18,2025-01-24
iPhone 14 Plus,14,9200.0,3.9,136,49,20,2025-01-24
iPhone 14 Pro,14,11000.0,3.8,117,23,24,2025-01-24
iPhone 14 Pro Max,14,12000.0,4.4,277,37,19,2025-01-24
iPhone 15,15,10000.0,4.6,112,32,17,2025-01-24
iPhone 15 Plus,15,10200.0,3.5,224,24,20,2025-01-24
iPhone 15 Pro,15,12500.0,4.4,459,8,15,2025-01-24
iPhone 15 Pro Max,15,14000.0,3.7,156,32,8,2025-01-24
iPhone 16,16,11000.0,4.1,122,37,11,2025-01-24
iPhone 16 Pro,16,14000.0,4.5,267,33,15,2025-01-24
iPhone 16 Pro Max,16,16000.0,4.4,459,15,20,2025-01-24
iPhone 17,17,12000.0,3.3,210,43,32,2025-01-24
iPhone 17 Pro,17,15500.0,4.7,93,10,20,2025-01-24
iPhone 17 Pro Max,17,18000.0,3.3,90,45,16,2025-01-24
iPhone X,X,5000.0,3.8,428,47,33,2025-01-25
iPhone XS,X,5200.0,3.1,222,35,17,2025-01-25
iPhone XS Max,X,5500.0,3.9,417,42,22,2025-01-25
iPhone 11,11,6000.0,3.9,108,49,24,2025-01-25
iPhone 11 Pro,11,7000.0,3.6,446,42,18,2025-01-25
iPhone 11 Pro Max,11,8000.0,4.6,460,7,27,2025-01-25
iPhone 12,12,7000.0,4.7,344,45,10,2025-01-25
iPhone 12 mini,12,6800.0,4.2,322,40,16,2025-01-25
iPhone 12 Pro,12,8500.0,3.8,417,43,13,2025-01-25
iPhone 12 Pro Max,12,9000.0,4.3,430,5,20,2025-01-25
iPhone 13,13,8000.0,3.7,157,23,20,2025-01-25
iPhone 13 mini,13,7800.0,4.3,436,35,19,2025-01-25
iPhone 13 Pro,13,9500.0,4.6,404,42,20,2025-01-25
iPhone 13 Pro Max,13,10000.0,4.7,449,16,25,2025-01-25
iPhone 14,14,9000.0,4.1,40,8,14,2025-01-25
iPhone 14 Plus,14,9200.0,3.2,439,47,20,2025-01-25
iPhone 14 Pro,14,11000.0,3.8,243,10,18,2025-01-25
iPhone 14 Pro Max,14,12000.0,3.6,494,41,27,2025-01-25
iPhone 15,15,10000.0,4.9,366,39,21,2025-01-25
iPhone 15 Plus,15,10200.0,4.7,378,33,24,2025-01-25
iPhone 15 Pro,15,12500.0,3.6,440,21,12,2025-01-25
iPhone 15 Pro Max,15,14000.0,4.1,174,45,14,2025-01-25
iPhone 16,16,11000.0,4.1,171,49,23,2025-01-25
iPhone 16 Pro,16,14000.0,3.9,51,38,22,2025-01-25
iPhone 16 Pro Max,16,16000.0,3.5,60,25,13,2025-01-25
iPhone 17,17,12000.0,4.9,368,8,15,2025-01-25
iPhone 17 Pro,17,15500.0,3.7,101,28,17,2025-01-25
iPhone 17 Pro Max,17,18000.0,4.6,108,22,22,2025-01-25
iPhone X,X,5000.0,4.2,258,28,13,2025-01-26
iPhone XS,X,5200.0,3.8,293,9,22,2025-01-26
iPhone XS Max,X,5500.0,4.0,173,23,21,2025-01-26
iPhone 11,11,6000.0,4.2,319,49,14,2025-01-26
iPhone 11 Pro,11,7000.0,3.9,255,25,21,2025-01-26
iPhone 11 Pro Max,11,8000.0,3.1,193,24,28,2025-01-26
iPhone 12,12,7000.0,3.9,21,10,19,2025-01-26
iPhone 12 mini,12,6800.0,5.0,245,36,14,2025-01-26
iPhone 12 Pro,12,8500.0,4.0,192,40,15,2025-01-26
iPhone 12 Pro Max,12,9000.0,4.5,408,31,16,2025-01-26
iPhone 13,13,8000.0,4.0,258,21,25,2025-01-26
iPhone 13 mini,13,7800.0,4.5,269,11,18,2025-01-26
iPhone 13 Pro,13,9500.0,4.9,57,13,13,2025-01-26
iPhone 13 Pro Max,13,10000.0,3.5,72,42,24,2025-01-26
iPhone 14,14,9000.0,3.5,334,17,24,2025-01-26
iPhone 14 Plus,14,9200.0,4.9,223,47,23,2025-01-26
iPhone 14 Pro,14,11000.0,4.7,403,46,27,2025-01-26
iPhone 14 Pro Max,14,12000.0,4.6,178,28,26,2025-01-26
iPhone 15,15,10000.0,4.5,295,34,24,2025-01-26
iPhone 15 Plus,15,10200.0,3.6,144,7,22,2025-01-26
iPhone 15 Pro,15,12500.0,4.5,34,41,16,2025-01-26
iPhone 15 Pro Max,15,14000.0,4.5,398,13,22,2025-01-26
iPhone 16,16,11000.0,4.5,173,39,16,2025-01-26
iPhone 16 Pro,16,14000.0,4.0,439,18,21,2025-01-26
iPhone 16 Pro Max,16,16000.0,3.8,423,35,19,2025-01-26
iPhone 17,17,12000.0,3.2,197,17,17,2025-01-26
iPhone 17 Pro,17,15500.0,4.9,299,49,20,2025-01-26
iPhone 17 Pro Max,17,18000.0,3.6,433,21,23,2025-01-26
iPhone X,X,5000.0,4.0,243,20,14,2025-01-27
iPhone XS,X,5200.0,4.4,193,35,19,2025-01-27
iPhone XS Max,X,5500.0,3.5,304,7,24,2025-01-27
iPhone 11,11,6000.0,3.6,62,43,19,2025-01-27
iPhone 11 Pro,11,7000.0,3.5,242,34,20,2025-01-27
iPhone 11 Pro Max,11,8000.0,3.7,322,29,21,2025-01-27
iPhone 12,12,7000.0,3.2,346,27,19,2025-01-27
iPhone 12 mini,12,6800.0,4.6,63,24,25,2025-01-27
iPhone 12 Pro,12,8500.0,4.4,23,32,16,2025-01-27
iPhone 12 Pro Max,12,9000.0,3.6,39,8,14,2025-01-27
iPhone 13,13,8000.0,3.3,480,12,19,2025-01-27
iPhone 13 mini,13,7800.0,3.6,347,38,11,2025-01-27
iPhone 13 Pro,13,9500.0,4.4,370,16,15,2025-01-27
iPhone 13 Pro Max,13,10000.0,3.4,358,30,18,2025-01-27
iPhone 14,14,9000.0,4.4,223,42,20,2025-01-27
iPhone 14 Plus,14,9200.0,3.9,399,9,24,2025-01-27
iPhone 14 Pro,14,11000.0,4.9,329,33,20,2025-01-27
iPhone 14 Pro Max,14,12000.0,4.7,461,40,14,2025-01-27
iPhone 15,15,10000.0,4.8,316,17,10,2025-01-27
iPhone 15 Plus,15,10200.0,4.9,188,41,14,2025-01-27
iPhone 15 Pro,15,12500.0,3.2,480,30,23,2025-01-27
iPhone 15 Pro Max,15,14000.0,4.7,448,14,20,2025-01-27
iPhone 16,16,11000.0,3.3,222,25,19,2025-01-27
iPhone 16 Pro,16,14000.0,3.6,20,21,20,2025-01-27
iPhone 16 Pro Max,16,16000.0,4.4,290,34,19,2025-01-27
iPhone 17,17,12000.0,4.3,302,46,11,2025-01-27
iPhone 17 Pro,17,15500.0,3.2,313,43,5,2025-01-27
iPhone 17 Pro Max,17,18000.0,3.9,155,18,20,2025-01-27
iPhone X,X,5000.0,4.5,370,11,17,2025-01-28
iPhone XS,X,5200.0,4.6,40,6,27,2025-01-28
iPhone XS Max,X,5500.0,3.4,338,42,25,2025-01-28
iPhone 11,11,6000.0,3.4,118,27,19,2025-01-28
iPhone 11 Pro,11,7000.0,4.2,171,13,21,2025-01-28
iPhone 11 Pro Max,11,8000.0,4.5,37,10,15,2025-01-28
iPhone 12,12,7000.0,4.3,158,32,15,2025-01-28
iPhone 12 mini,12,6800.0,4.8,261,47,23,2025-01-28
iPhone 12 Pro,12,8500.0,3.7,322,14,15,2025-01-28
iPhone 12 Pro Max,12,9000.0,4.4,22,41,20,2025-01-28
iPhone 13,13,8000.0,4.8,267,26,20,2025-01-28
iPhone 13 mini,13,7800.0,3.1,396,42,20,2025-01-28
iPhone 13 Pro,13,9500.0,4.1,191,28,23,2025-01-28
iPhone 13 Pro Max,13,10000.0,3.1,355,42,21,2025-01-28
iPhone 14,14,9000.0,4.5,128,32,15,2025-01-28
iPhone 14 Plus,14,9200.0,3.3,469,31,16,2025-01-28
iPhone 14 Pro,14,11000.0,4.2,179,34,14,2025-01-28
iPhone 14 Pro Max,14,12000.0,3.9,233,29,17,2025-01-28
iPhone 15,15,10000.0,4.5,451,11,13,2025-01-28
iPhone 15 Plus,15,10200.0,3.0,52,40,12,2025-01-28
iPhone 15 Pro,15,12500.0,4.1,237,13,26,2025-01-28
iPhone 15 Pro Max,15,14000.0,4.2,465,49,20,2025-01-28
iPhone 16,16,11000.0,3.8,141,44,19,2025-01-28
iPhone 16 Pro,16,14000.0,4.5,480,48,11,2025-01-28
iPhone 16 Pro Max,16,16000.0,3.1,99,44,20,2025-01-28
iPhone 17,17,12000.0,4.9,37,26,21,2025-01-28
iPhone 17 Pro,17,15500.0,3.7,68,30,18,2025-01-28
iPhone 17 Pro Max,17,18000.0,4.2,403,49,18,2025-01-28
iPhone X,X,5000.0,3.6,470,12,13,2025-01-29
iPhone XS,X,5200.0,4.3,330,42,27,2025-01-29
iPhone XS Max,X,5500.0,3.6,197,35,18,2025-01-29
iPhone 11,11,6000.0,3.3,14,24,20,2025-01-29
iPhone 11 Pro,11,7000.0,4.3,468,37,20,2025-01-29
iPhone 11 Pro Max,11,8000.0,3.5,70,25,22,2025-01-29
iPhone 12,12,7000.0,4.9,399,42,13,2025-01-29
iPhone 12 mini,12,6800.0,3.9,12,34,20,2025-01-29
iPhone 12 Pro,12,8500.0,4.7,17,48,21,2025-01-29
iPhone 12 Pro Max,12,9000.0,3.3,340,17,23,2025-01-29
iPhone 13,13,8000.0,4.1,360,32,16,2025-01-29
iPhone 13 mini,13,7800.0,4.3,261,30,21,2025-01-29
iPhone 13 Pro,13,9500.0,4.0,341,15,24,2025-01-29
iPhone 13 Pro Max,13,10000.0,3.4,367,22,19,2025-01-29
iPhone 14,14,9000.0,5.0,269,48,22,2025-01-29
iPhone 14 Plus,14,9200.0,4.5,150,46,20,2025-01-29
iPhone 14 Pro,14,11000.0,4.0,361,40,23,2025-01-29
iPhone 14 Pro Max,14,12000.0,4.3,196,24,13,2025-01-29
iPhone 15,15,10000.0,4.1,351,33,18,2025-01-29
iPhone 15 Plus,15,10200.0,3.0,110,32,19,2025-01-29
iPhone 15 Pro,15,12500.0,4.9,435,47,20,2025-01-29
iPhone 15 Pro Max,15,14000.0,4.6,287,41,13,2025-01-29
iPhone 16,16,11000.0,3.5,358,7,37,2025-01-29
iPhone 16 Pro,16,14000.0,4.0,332,24,12,2025-01-29
iPhone 16 Pro Max,16,16000.0,3.2,103,39,19,2025-01-29
iPhone 17,17,12000.0,3.6,26,22,16,2025-01-29
iPhone 17 Pro,17,15500.0,5.0,358,24,10,2025-01-29
iPhone 17 Pro Max,17,18000.0,4.7,266,30,28,2025-01-29
iPhone X,X,5000.0,4.8,125,27,12,2025-01-30
iPhone XS,X,5200.0,3.1,387,5,20,2025-01-30
iPhone XS Max,X,5500.0,3.4,363,49,18,2025-01-30
iPhone 11,11,6000.0,4.4,321,25,12,2025-01-30
iPhone 11 Pro,11,7000.0,4.0,291,23,18,2025-01-30
iPhone 11 Pro Max,11,8000.0,4.8,163,44,14,2025-01-30
iPhone 12,12,7000.0,3.8,471,8,12,2025-01-30
